Timestamp,Document Name,File Type,Expected Category,Actual Category,Expected Action Items,Actual Action Items,Expected Deadline,Actual Deadline,Error Description,Status
2026-08-21 09:00:11,ProjectPilot AI.pdf,PDF,N/A,Other,N/A,"['Develop the core AI planning engine and task generator', 'Build the frontend Kanban Board and progress dashboard', 'Implement backend logic using FastAPI and Supabase', 'Integrate GitHub for automated code review and task updates', 'Deploy the application on Vercel and Render']",N/A,No deadline specified,Document classified as 'Other' or 'General',Unfixed
2026-08-21 09:02:46,Form_6_English (1).pdf,PDF,N/A,Other,N/A,"['Fill out personal and contact details', 'Attach a recent unsigned passport-size color photograph', 'Provide self-attested proof of date of birth and address', 'Submit the completed application to the Electoral Registration Officer']",N/A,No deadline specified,Document classified as 'Other' or 'General',Unfixed
2026-08-21 09:15:58,ProjectPilot AI.pdf,PDF,N/A,General,N/A,[],N/A,No deadline specified,Low confidence score: 0.0,Unfixed
2026-08-21 09:15:58,ProjectPilot AI.pdf,PDF,N/A,General,N/A,[],N/A,No deadline specified,Document classified as 'Other' or 'General',Unfixed
2026-08-21 09:23:51,Form_6_English (1).pdf,PDF,N/A,Other,N/A,[],N/A,No deadline specified,Document classified as 'Other' or 'General',Unfixed
2026-08-21 11:33:16,Form_6_English (1).pdf,PDF,N/A,Other,N/A,[],N/A,No deadline specified,Low confidence score: 0.0,Unfixed
2026-08-21 11:33:16,Form_6_English (1).pdf,PDF,N/A,Other,N/A,[],N/A,No deadline specified,Document classified as 'Other' or 'General',Unfixed
2026-08-21 11:35:13,Declaration Form English.pdf,PDF,N/A,Other,N/A,[],N/A,No deadline specified,Document classified as 'Other' or 'General',Unfixed
2026-08-21 11:35:13,Declaration Form English.pdf,PDF,N/A,Other,N/A,[],N/A,No deadline specified,No action items extracted despite high confidence,Unfixed
2026-08-21 11:46:09,RFP_KMRL_3.0_.docx,PDF,N/A,Tender / Bid Document,N/A,[],N/A,No deadline specified,No action items extracted despite high confidence,Unfixed
2026-08-21 17:29:16,Form_6_English (1).pdf,PDF,N/A,Other,N/A,[],N/A,No deadline specified,Low confidence score: 0,Unfixed
2026-08-21 17:29:16,Form_6_English (1).pdf,PDF,N/A,Other,N/A,[],N/A,No deadline specified,Document classified as 'Other' or 'General',Unfixed
2026-08-21 17:41:30,Form_6_English (1).pdf,PDF,N/A,Other,N/A,[],N/A,No deadline specified,Document classified as 'Other' or 'General',Unfixed
2026-08-21 17:41:30,Form_6_English (1).pdf,PDF,N/A,Other,N/A,[],N/A,No deadline specified,No action items extracted despite high confidence,Unfixed
